"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-09","19.8",",,U","26.1","H,,U","11.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-10","20.3",",,U","28.9","H,,U","8.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-11","24.8",",,U","35.6","H,,U","13.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-12","28.6",",,U","38.3","H,,U","15.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-13","28.8",",,U","37.8","H,,U","17.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-14","26.5",",,U","34.4","H,,U","17.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-15","24.2",",,U","32.8","H,,U","15.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-16","20.8",",,U","30.0","H,,U","11.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-17","19.7",",,U","27.2","H,,U","11.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-18","24.4",",,U","32.2","H,,U","14.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-19","27.2",",,U","36.7","H,,U","16.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-20","25.8",",,U","35.6","H,,U","15.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-21","25.7",",,U","36.1","H,,U","11.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-22","29.6",",,U","39.4","H,,U","17.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-23","32.5",",,U","41.7","H,,U","21.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-24","30.7",",,U","40.0","H,,U","19.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-25","24.4",",,U","33.3","H,,U","16.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-26","25.6",",,U","33.9","H,,U","13.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-27","24.2",",,U","33.3","H,,U","13.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-28","24.2",",,U","32.8","H,,U","13.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-29","29.2",",,U","38.9","H,,U","18.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-06-30","33.1",",,U","40.6","H,,U","24.4","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-01","1.7",",,U","5.0","H,,U","-1.1","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-02","0.3",",,U","3.9","H,,U","-1.7","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-03","-0.4",",,U","3.9","H,,U","-2.8","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-04","-1.9",",,U","3.9","H,,U","-5.0","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-05","0.0",",,U","4.4","H,,U","-3.9","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-06","1.7",",,U","6.1","H,,U","-1.7","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-07","2.6",",,U","7.2","H,,U","-1.7","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-08","3.7",",,U","8.3","H,,U","0.6","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-09","3.8",",,U","8.9","H,,U","0.0","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-10","3.8",",,U","8.3","H,,U","0.0","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-11","3.4",",,U","8.3","H,,U","-0.6","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-12","3.1",",,U","7.2","H,,U","-0.6","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-13","5.3",",,U","9.4","H,,U","0.6","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-14","6.1",",,U","10.6","H,,U","2.8","H,,U"
"USR0000CQUA","QUARTZ HILL CALIFORNIA, CA US","2017-12-15","3.9",",,U","6.7","H,,U","0.0","H,,U"
